CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
361008105,FNKO,FUNKO INC,14650,14650,46.15K,46.15K,NEW,<.01%
904311206,UA,UNDER ARMOUR INC,7632,7632,44.19K,44.19K,NEW,<.01%
163072101,CAKE,CHEESECAKE FACTORY INC,12579,774,688.7K,42.38K,+6.6%,0.01%
093671105,HRB,BLOCK H & R INC,1326,1326,42.09K,42.09K,NEW,<.01%
52661A108,DRS,LEONARDO DRS INC,915,915,40.74K,40.74K,NEW,<.01%
094235108,BLMN,BLOOMIN BRANDS INC,33061,7178,178.53K,38.76K,+27.7%,<.01%
250565108,DBI,DESIGNER BRANDS INC,6801,6801,38.7K,38.7K,NEW,<.01%
512816109,LAMR,LAMAR ADVERTISING CO,710,303,89.93K,38.38K,+74.4%,<.01%
767292105,RIOT,RIOT PLATFORMS INC,10447,2954,129.12K,36.51K,+39.4%,<.01%
58470H101,MED,MEDIFAST INC,3400,3400,34.65K,34.65K,NEW,<.01%
21871X109,CRBG,COREBRIDGE FINL INC,1332,1332,31.78K,31.78K,NEW,<.01%
68243Q106,FLWS,1 800 FLOWERS COM INC,10110,10110,30.73K,30.73K,NEW,<.01%
444859102,HUM,HUMANA INC,7539,173,1.31M,30K,+2.3%,0.03%
G65773106,NAT,NORDIC AMERICAN TANKERS LIMI,45042,4986,263.95K,29.22K,+12.4%,<.01%
85423L103,SARO,STANDARDAERO INC,999,999,25.8K,25.8K,NEW,<.01%
218937100,CNR,CORE NATURAL RESOURCES INC,245,245,25.66K,25.66K,NEW,<.01%
94106B101,WCN,WASTE CONNECTIONS INC,154,154,25.02K,25.02K,NEW,<.01%
500081104,KDK,KODIAK AI INC.,3495,3495,24.25K,24.25K,NEW,<.01%
29664W105,ESPR,ESPERION THERAPEUTICS INC NE,12593,8730,34.51K,23.92K,+226%,<.01%
532275104,LWLG,LIGHTWAVE LOGIC INC,3398,3398,23.89K,23.89K,NEW,<.01%
78781J109,SAIL,SAILPOINT INC,1714,1714,22.69K,22.69K,NEW,<.01%
896945201,TRIP,TRIPADVISOR INC,31753,2097,338.49K,22.35K,+7.1%,<.01%
12514G108,CDW,CDW CORP,177,177,21.42K,21.42K,NEW,<.01%
85209W109,SPT,SPROUT SOCIAL INC,6667,3734,38K,21.28K,+127.3%,<.01%
14817C107,SAVA,FILANA THERAPEUTICS INC,20968,11790,35.44K,19.93K,+128.5%,<.01%
52603A208,LC,LENDINGCLUB ISSUANCE TR SER,1380,1380,19.76K,19.76K,NEW,<.01%
816850101,SMTC,SEMTECH CORP,254,254,19.53K,19.53K,NEW,<.01%
16934Q802,CIM,CHIMERA INVT CORP,1418,1418,17.8K,17.8K,NEW,<.01%
74967X103,RH,RH,21566,126,3.02M,17.62K,+0.6%,0.06%
00508Y102,AYI,ACUITY INC,62,62,17.37K,17.37K,NEW,<.01%
829242106,SBGI,SINCLAIR INC,1306,1306,16.9K,16.9K,NEW,<.01%
118440106,BKE,BUCKLE INC,332,332,16.72K,16.72K,NEW,<.01%
46267X108,IQ,IQIYI INC,11900,11900,16.07K,16.07K,NEW,<.01%
36257Y109,GOTU,GAOTU TECHEDU INC,7818,7818,15.32K,15.32K,NEW,<.01%
08862E109,BYND,BEYOND MEAT INC,21040,21040,14.76K,14.76K,NEW,<.01%
M6372Q113,KRNT,KORNIT DIGITAL LTD,1004,1004,14.72K,14.72K,NEW,<.01%
63008G203,NNDM,NANO DIMENSION LTD,7922,7922,13.47K,13.47K,NEW,<.01%
418056107,HAS,HASBRO INC,142,142,13.29K,13.29K,NEW,<.01%
92922P106,WTI,W & T OFFSHORE INC,3688,3688,12.58K,12.58K,NEW,<.01%
45784P101,PODD,INSULET CORP,57,57,11.96K,11.96K,NEW,<.01%
G2717C106,CWK,CUSHMAN AND WAKEFIELD LTD,969,969,11.88K,11.88K,NEW,<.01%
981811102,WOR,WORTHINGTON ENTERPRISES INC,220,220,11.47K,11.47K,NEW,<.01%
04302A104,AIP,ARTERIS INC,675,675,11.1K,11.1K,NEW,<.01%
163092109,CHGG,CHEGG INC,13696,13696,10.15K,10.15K,NEW,<.01%
87164F105,SNDX,SYNDAX PHARMACEUTICALS INC,416,416,9.72K,9.72K,NEW,<.01%
